GID,Names,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,rank,female,male,Age_adjusted_LCM,wind,NO2,Temp,SO2,PM25,ozone,co,rank
1053,"Escambia County, AL",0,92.27,0,174.85,0,0.209,27,35,38,47,2,1,3,48.3,43.08599167,14.56170559,68.75285034,2.474175596,34.59320526,36.81028137,0.267973799,4
12033,"Escambia County, FL",58.97,75.05,5.44,167.14,334.94,0.161,4,24,48,13,2,2,2,50.6,47.97428022,14.09390736,69.28964996,2.045323883,34.53490993,36.74080811,0.267207474,4
12113,"Santa Rosa County, FL",53.11,64.94,0,128.47,393.67,0.161,4,24,48,13,2,2,2,47.1,49.18774757,14.27674354,69.49324188,1.895690906,34.73217239,36.58681145,0.267558926,4
1003,"Baldwin County, AL",45.22,76.68,0,135.63,239.54,0.209,27,35,38,47,2,1,2,38.5,53.55070543,13.42711522,69.41236544,2.309763178,33.74518871,36.85193825,0.267800057,3
12091,"Okaloosa County, FL",50.02,37.46,0,111.1,262.8,0.161,4,24,48,13,1,2,1,33.6,55.06315994,14.66023266,69.49313831,1.858091891,34.45029211,36.33902168,0.2682602,2
1039,"Covington County, AL",94.13,78.09,0,203.13,339.46,0.209,27,35,38,47,3,3,2,51.5,55.82085355,15.18323602,68.58779907,2.33496658,34.81174278,36.7157917,0.268000046,4
1025,"Clarke County, AL",0,134.49,0,165.73,499.32,0.209,27,35,38,47,3,1,3,55.4,57.91256114,14.71525606,67.90969413,2.964420625,34.83936582,37.03570557,0.268359681,5
1097,"Mobile County, AL",40.12,65.69,3.8,132.51,281.11,0.209,27,35,38,47,1,1,2,40.4,58.33414879,13.38821595,69.61710968,2.54032526,34.17891006,36.82565828,0.266689804,3
12131,"Walton County, FL",49.07,77.56,0,89.49,391.6,0.161,4,24,48,13,2,2,2,45.8,61.71009488,14.69639683,69.51675839,1.71607705,34.2050048,36.12575192,0.268474738,4
28059,"Jackson County, MS",38.28,80.89,11.95,120.83,343.83,0.222,36,50,45,46,2,1,2,48.9,62.46569252,12.80620639,69.87668864,2.222320477,34.75332896,37.16503143,0.262582108,4
1031,"Coffee County, AL",52.63,58.27,0,151.76,295.14,0.209,27,35,38,47,1,2,2,40.7,65.31559563,15.29878211,68.39071655,2.329748988,34.94063854,36.73349571,0.268220298,3
28047,"Harrison County, MS",53.57,82.61,0,190.61,366.83,0.222,36,50,45,46,2,2,2,55.1,66.48036702,12.6843888,69.70703295,2.857510249,34.95181402,37.2711241,0.266697145,5
1061,"Geneva County, AL",0,93.55,0,174.62,0,0.209,27,35,38,47,3,1,3,51.4,66.70487022,15.06311941,68.84274101,1.897859007,34.42756367,36.30490589,0.268593855,4
